,adjective,category,created_at,id,modifier,name,price
0,fuzzy,contraption,2014-01-15 21:36:09,2512.0,carrying_case,fuzzy contraption carrying_case,150.0
1,,instrument,2013-05-14 05:20:50,482.0,refill,instrument refill,35.2
2,industrial-strength,module,2014-02-04 19:28:32,2446.0,,industrial-strength module,300.0
3,digital,tool,2013-02-25 12:23:18,1312.0,carrying_case,digital tool carrying_case,16.5
4,miniature,device,2013-08-05 17:20:45,3556.0,cleaner,miniature device cleaner,16.5
5,rechargable,contraption,2013-09-12 06:27:01,131.0,cleaner,rechargable contraption cleaner,195.0
6,,instrument,2013-10-07 09:38:14,1178.0,how-to-manual,instrument how-to-manual,0.0
7,prize-winning,mechanism,2013-09-09 09:32:18,110.0,storage_unit,prize-winning mechanism storage_unit,41.25
8,,mechanism,2013-10-25 22:53:25,47.0,,mechanism,15.0
9,organic,tool,2013-05-10 10:19:33,1696.0,,organic tool,37.5
10,fuzzy,module,2013-04-19 01:40:40,3196.0,refill,fuzzy module refill,80.0
11,fuzzy,device,2013-05-20 18:29:18,1578.0,refill,fuzzy device refill,40.0
12,reflective,widget,2013-06-14 03:32:39,0.0,charger,reflective widget charger,0.7800000000000001
13,organic,tool,2013-09-09 11:36:06,107.0,how-to-manual,organic tool how-to-manual,0.0
14,,apparatus,2013-03-15 18:14:19,487.0,charger,apparatus charger,60.0
15,industrial-strength,gadget,2013-03-17 19:01:27,1777.0,refill,industrial-strength gadget refill,213.6
16,aerodynamic,mechanism,2013-07-07 12:28:26,1132.0,,aerodynamic mechanism,21.0
17,industrial-strength,apparatus,2013-11-03 01:04:42,3328.0,carrying_case,industrial-strength apparatus carrying_case,540.0
18,,mechanism,2013-03-31 08:15:04,3044.0,,mechanism,15.0
19,miniature,tool,2013-03-13 05:43:14,246.0,,miniature tool,13.750000000000002
20,prize-winning,gadget,2013-10-29 11:50:25,3480.0,wrapper,prize-winning gadget wrapper,39.16
21,,tool,2014-01-02 05:47:17,1975.0,refill,tool refill,20.0
22,,mechanism,2013-06-25 11:24:00,2722.0,,mechanism,15.0
23,reflective,mechanism,2014-01-21 07:14:49,1602.0,how-to-manual,reflective mechanism how-to-manual,0.0
24,analog,mechanism,2013-06-19 21:43:13,3141.0,,analog mechanism,13.5
25,extra-strength,mechanism,2013-03-06 20:29:40,1411.0,charger,extra-strength mechanism charger,6.0
26,rechargable,dongle,2013-05-27 23:38:40,3439.0,,rechargable dongle,39.0
27,organic,mechanism,2013-10-05 16:02:03,2134.0,,organic mechanism,22.5
28,matte,widget,2013-03-16 00:16:33,2389.0,how-to-manual,matte widget how-to-manual,0.0
29,analog,gadget,2013-11-07 02:18:07,226.0,carrying_case,analog gadget carrying_case,48.06
30,fuzzy,dongle,2014-01-27 09:19:42,2545.0,cleaner,fuzzy dongle cleaner,18.0
31,rechargable,dongle,2013-03-16 00:54:44,1732.0,how-to-manual,rechargable dongle how-to-manual,0.0
32,,mechanism,2014-01-16 02:42:00,3934.0,carrying_case,mechanism carrying_case,9.0
33,fuzzy,dongle,2013-04-17 03:12:22,504.0,warmer,fuzzy dongle warmer,33.0
34,extra-strength,apparatus,2013-11-20 20:29:11,23.0,charger,extra-strength apparatus charger,120.0
35,matte,contraption,2013-09-02 20:34:50,1730.0,,matte contraption,312.5
36,prize-winning,apparatus,2013-12-23 17:55:49,3290.0,cleaner,prize-winning apparatus cleaner,198.00000000000003
37,aerodynamic,widget,2013-12-20 14:22:06,2498.0,,aerodynamic widget,4.199999999999999
38,extra-strength,apparatus,2013-10-17 09:50:03,459.0,opener,extra-strength apparatus opener,300.0
39,matte,apparatus,2013-05-07 17:28:21,2309.0,how-to-manual,matte apparatus how-to-manual,0.0
40,fuzzy,module,2013-08-26 10:31:15,1074.0,refill,fuzzy module refill,80.0
41,aerodynamic,contraption,2013-09-02 23:22:17,1391.0,charger,aerodynamic contraption charger,70.0
42,digital,mechanism,2013-07-15 16:00:39,1403.0,,digital mechanism,16.5
43,digital,apparatus,2013-07-05 23:33:51,3460.0,,digital apparatus,330.0
44,matte,mechanism,2013-10-10 03:26:07,549.0,wrapper,matte mechanism wrapper,7.5
45,digital,widget,2013-03-22 10:55:24,1271.0,wrapper,digital widget wrapper,1.3200000000000005
46,,widget,2013-12-15 16:19:44,2296.0,charger,widget charger,0.6000000000000001
47,prize-winning,gadget,2013-03-09 06:13:58,862.0,storage_unit,prize-winning gadget storage_unit,244.75000000000003
48,prize-winning,instrument,2013-10-28 03:54:54,53.0,,prize-winning instrument,48.400000000000006
49,prize-winning,tool,2013-04-25 21:31:50,1872.0,,prize-winning tool,27.500000000000004
50,miniature,apparatus,2013-07-15 19:48:33,3134.0,cleaner,miniature apparatus cleaner,99.0
51,fuzzy,apparatus,2013-02-23 13:06:36,2993.0,,fuzzy apparatus,300.0
52,extra-strength,device,2013-02-26 20:46:37,1590.0,storage_unit,extra-strength device storage_unit,250.0
53,analog,apparatus,2013-08-14 00:14:16,3057.0,,analog apparatus,270.0
54,extra-strength,instrument,2013-12-17 09:39:55,1756.0,how-to-manual,extra-strength instrument how-to-manual,0.0
55,matte,instrument,2013-11-18 09:55:47,3119.0,,matte instrument,55.0
56,prize-winning,tool,2013-11-15 10:30:33,2393.0,,prize-winning tool,27.500000000000004
57,,widget,2013-06-11 11:03:27,212.0,opener,widget opener,1.5
58,glossy,mechanism,2013-03-03 18:19:57,735.0,carrying_case,glossy mechanism carrying_case,10.8
59,glossy,instrument,2013-05-20 23:58:15,3544.0,cleaner,glossy instrument cleaner,31.68
60,glossy,mechanism,2013-03-21 06:35:11,3990.0,,glossy mechanism,18.0
61,matte,gadget,2014-01-30 17:15:13,917.0,charger,matte gadget charger,22.25
62,extra-strength,device,2013-07-15 20:13:43,77.0,,extra-strength device,100.0
63,digital,device,2014-01-02 04:08:45,2213.0,warmer,digital device warmer,60.500000000000014
64,,dongle,2013-05-25 13:37:04,2493.0,,dongle,30.0
65,rechargable,contraption,2013-09-16 14:58:03,3070.0,wrapper,rechargable contraption wrapper,130.0
66,,instrument,2013-07-23 21:03:59,1569.0,,instrument,44.0
67,prize-winning,gadget,2013-07-01 14:17:49,1690.0,charger,prize-winning gadget charger,19.58
68,fuzzy,module,2013-06-24 07:31:17,3447.0,refill,fuzzy module refill,80.0
69,rechargable,gadget,2013-12-22 19:32:31,33.0,,rechargable gadget,115.7
70,fuzzy,apparatus,2013-09-27 22:12:39,1838.0,,fuzzy apparatus,300.0
71,fuzzy,gadget,2013-06-01 16:37:26,2152.0,wrapper,fuzzy gadget wrapper,35.6
72,aerodynamic,contraption,2013-05-23 17:08:57,204.0,cleaner,aerodynamic contraption cleaner,210.0
73,matte,mechanism,2013-08-29 04:11:12,1039.0,,matte mechanism,18.75
74,digital,contraption,2013-03-30 21:56:50,3577.0,,digital contraption,275.0
75,extra-strength,device,2013-11-08 11:41:49,2567.0,,extra-strength device,100.0
76,matte,device,2013-12-11 04:07:40,3427.0,charger,matte device charger,12.5
77,digital,tool,2014-01-20 17:27:59,2622.0,charger,digital tool charger,5.5
78,rechargable,mechanism,2014-01-21 13:08:34,2601.0,cleaner,rechargable mechanism cleaner,11.7
79,digital,tool,2014-01-26 12:45:24,1007.0,,digital tool,27.500000000000004
80,industrial-strength,mechanism,2014-01-17 03:01:38,2114.0,charger,industrial-strength mechanism charger,9.0
81,reflective,instrument,2014-01-11 02:00:17,2627.0,,reflective instrument,57.2
82,digital,instrument,2013-05-16 03:58:52,979.0,storage_unit,digital instrument storage_unit,121.0
83,prize-winning,gadget,2013-03-19 16:32:16,2178.0,warmer,prize-winning gadget warmer,107.69
84,reflective,gadget,2013-04-20 03:43:10,864.0,how-to-manual,reflective gadget how-to-manual,0.0
85,fuzzy,mechanism,2013-08-23 11:47:45,2153.0,,fuzzy mechanism,15.0
86,organic,device,2013-06-14 02:24:10,2121.0,,organic device,75.0
87,reflective,module,2013-03-19 01:05:39,3904.0,opener,reflective module opener,65.0
88,analog,module,2013-09-20 09:57:25,3984.0,,analog module,90.0
89,digital,instrument,2013-03-27 09:27:27,1648.0,warmer,digital instrument warmer,53.24000000000001
90,fuzzy,gadget,2013-08-24 19:01:07,2479.0,storage_unit,fuzzy gadget storage_unit,222.5
91,extra-strength,mechanism,2014-01-02 12:47:19,2531.0,,extra-strength mechanism,30.0
92,,instrument,2013-11-29 18:12:14,586.0,,instrument,44.0
93,extra-strength,instrument,2014-02-05 05:32:18,224.0,warmer,extra-strength instrument warmer,96.8
94,aerodynamic,dongle,2013-06-09 09:07:41,2062.0,,aerodynamic dongle,42.0
95,digital,module,2013-07-29 08:26:35,3610.0,,digital module,110.0
96,miniature,tool,2013-12-11 06:55:38,1205.0,carrying_case,miniature tool carrying_case,8.25
97,digital,tool,2013-08-05 08:10:05,1585.0,,digital tool,27.500000000000004
98,reflective,dongle,2013-03-14 07:38:27,1315.0,carrying_case,reflective dongle carrying_case,23.4
99,organic,mechanism,2013-08-04 21:32:56,1368.0,wrapper,organic mechanism wrapper,9.0
100,aerodynamic,widget,2013-04-08 09:29:09,703.0,wrapper,aerodynamic widget wrapper,1.6800000000000002
101,fuzzy,tool,2013-08-20 05:59:26,2207.0,wrapper,fuzzy tool wrapper,10.0
102,,contraption,2014-01-31 10:45:11,1979.0,storage_unit,contraption storage_unit,625.0
103,extra-strength,gadget,2014-02-22 11:46:21,3668.0,wrapper,extra-strength gadget wrapper,71.2
104,reflective,instrument,2014-01-15 06:20:27,3276.0,charger,reflective instrument charger,11.44
105,rechargable,contraption,2013-07-05 09:50:29,1814.0,cleaner,rechargable contraption cleaner,195.0
106,matte,contraption,2013-09-09 10:50:36,279.0,,matte contraption,312.5
107,analog,apparatus,2013-12-14 10:49:13,3479.0,,analog apparatus,270.0
108,,device,2013-07-10 03:15:23,1976.0,,device,50.0
109,matte,gadget,2013-05-19 23:35:26,3212.0,,matte gadget,111.25
110,analog,tool,2013-11-11 17:29:38,3728.0,warmer,analog tool warmer,24.750000000000004
111,aerodynamic,module,2014-02-06 03:14:40,2837.0,,aerodynamic module,140.0
112,fuzzy,apparatus,2013-09-30 17:37:11,920.0,opener,fuzzy apparatus opener,150.0
113,prize-winning,module,2013-07-17 04:55:41,478.0,,prize-winning module,110.0
114,fuzzy,widget,2013-06-29 05:34:39,3928.0,,fuzzy widget,3.0
115,organic,contraption,2013-09-24 13:09:04,690.0,storage_unit,organic contraption storage_unit,937.5
116,glossy,tool,2013-10-16 04:35:47,1198.0,opener,glossy tool opener,15.0
117,,apparatus,2013-12-17 23:54:47,3507.0,,apparatus,300.0
118,,instrument,2013-04-11 01:15:29,2438.0,,instrument,44.0
119,,apparatus,2014-01-30 14:01:07,1474.0,opener,apparatus opener,150.0
120,glossy,contraption,2013-04-08 06:44:46,3109.0,,glossy contraption,300.0
121,rechargable,gadget,2013-08-25 03:54:03,280.0,warmer,rechargable gadget warmer,127.27
122,industrial-strength,contraption,2013-12-18 09:01:49,518.0,,industrial-strength contraption,750.0
123,matte,device,2013-07-04 20:04:04,1866.0,refill,matte device refill,50.0
124,organic,device,2013-07-10 02:25:22,3442.0,,organic device,75.0
125,prize-winning,tool,2013-03-14 15:56:20,2344.0,,prize-winning tool,27.500000000000004
126,fuzzy,mechanism,2013-04-22 04:35:37,3720.0,opener,fuzzy mechanism opener,7.5
127,rechargable,apparatus,2013-05-10 07:59:33,67.0,,rechargable apparatus,390.0
128,extra-strength,instrument,2013-07-01 19:31:42,1633.0,charger,extra-strength instrument charger,17.6
129,extra-strength,mechanism,2013-03-27 12:41:08,2623.0,,extra-strength mechanism,30.0
130,rechargable,contraption,2013-06-16 17:14:23,1144.0,,rechargable contraption,325.0
131,rechargable,gadget,2013-05-06 04:53:15,3842.0,how-to-manual,rechargable gadget how-to-manual,0.0
132,extra-strength,dongle,2013-06-08 08:55:29,3615.0,refill,extra-strength dongle refill,48.0
